GeneSymbol,T.8Nve #1,T.8Nve#2
AC004584.3,0,4
AC004585.1,6,6
AC004585.2,0,0
AC004590.1,0,0
AC004593.1,1,0
AC004593.2,0,0
AC004594.1,2,0
AC004596.1,0,2
AC004597.1,0,0
AC004623.1,0,2
AC004637.1,0,0
AC004664.1,0,0
AC004672.1,5,2
AC004672.2,4,0
AC004674.1,0,0
AC004674.2,0,0
AC004678.1,0,0
AC004678.2,0,3
AC004687.1,49,49
AC004687.2,8,5
AC004687.3,0,0
AC004690.1,0,0
AC004690.2,0,0
AC004691.1,0,0
AC004691.2,0,0
AC004692.1,0,1
AC004692.2,0,0
AC004696.1,1,0
AC004696.2,3,0
AC004702.1,0,0
AC004704.1,0,0
AC004706.1,24,27
AC004706.2,0,0
AC004706.3,0,0
AC004707.1,0,0
AC004707.2,0,0
AC004765.1,4,0
AC004771.1,4,2
AC004771.2,4,2
AC004771.3,0,0
AC004771.4,4,7
AC004774.1,0,0
AC004774.2,0,0
AC004774.3,0,0
AC004775.1,0,0
AC004777.1,0,0
AC004784.1,0,0
AC004788.1,0,0
AC004790.1,0,0
AC004790.2,0,0
AC004792.1,0,0
AC004797.1,4,7
AC004801.1,17,19
AC004801.2,0,0
AC004801.3,0,0
AC004801.4,0,2
AC004801.5,1,0
AC004801.6,2,3
AC004801.7,0,2
AC004803.1,13,24
AC004805.1,0,0
AC004805.2,0,0
AC004805.3,0,0
AC004808.1,0,0
AC004808.2,0,0
AC004812.1,0,0
AC004812.2,2,17
AC004815.1,5,0
AC004816.1,4,12
AC004816.2,0,0
AC004817.1,0,1
AC004817.2,0,0
AC004817.3,2,5
AC004817.4,1,7
AC004817.5,15,15
AC004825.1,0,0
AC004825.2,0,5
AC004825.3,6,5
AC004828.1,0,0
AC004828.2,0,0
AC004830.1,0,0
AC004830.2,0,0
AC004832.1,3,0
AC004832.2,0,0
AC004832.3,0,0
AC004832.4,13,9
AC004832.5,1,7
AC004832.6,1,2
AC004834.1,16,1
AC004835.1,0,0
AC004835.2,0,0
AC004836.1,0,0
AC004837.1,0,0
AC004837.2,19,14
AC004837.3,0,0
AC004837.4,4,5
AC004839.1,0,3
AC004839.2,0,3
AC004840.1,0,1
AC004840.2,0,0
AC004846.1,1,0
AC004846.2,7,8
AC004847.1,25,65
AC004849.1,0,0
AC004852.1,0,0
AC004852.2,1,0
AC004852.3,0,0
AC004854.1,0,0
AC004854.2,4,1
AC004858.1,1,1
AC004862.1,0,6
AC004863.1,2,0
AC004865.1,7,9
AC004865.2,32,40
AC004866.1,0,0
AC004866.2,0,0
AC004869.1,0,0
AC004869.2,0,0
AC004870.1,0,0
AC004870.2,0,1
AC004870.3,0,0
AC004870.4,0,0
AC004875.1,0,0
AC004877.1,0,0
AC004877.2,1,10
AC004879.1,0,0
AC004879.2,0,0
AC004882.1,0,0
AC004882.2,0,6
AC004882.3,0,0
AC004882.4,0,1
AC004884.1,0,2
AC004884.2,13,25
AC004888.1,0,0
AC004890.1,5,0
AC004890.2,68,44
AC004890.3,0,0
AC004893.1,0,0
AC004893.2,11,8
AC004895.1,2,0
AC004898.1,9,1
AC004899.1,0,0
AC004899.2,0,0
AC004900.1,0,2
AC004908.1,6,4
AC004908.2,6,15
AC004908.3,2,0
AC004909.1,0,0
AC004910.1,2,1
AC004911.1,0,0
AC004912.1,0,0
AC004917.1,0,0
AC004918.1,6,3
AC004918.5,9,11
AC004920.1,0,0
AC004921.1,0,0
AC004921.2,1,0
AC004922.1,3,5
AC004923.1,2,1
AC004923.2,0,0
AC004923.3,0,0
AC004923.4,2,1
AC004925.1,1,0
AC004930.1,0,0
AC004936.1,0,0
AC004938.1,0,0
AC004938.2,7,9
AC004941.1,0,0
AC004941.2,0,0
AC004943.1,9,8
AC004943.2,6,28
AC004943.3,0,0
AC004944.1,0,0
AC004945.1,0,0
AC004946.1,0,0
AC004946.2,0,0
AC004947.1,0,0
AC004947.2,3,0
AC004947.3,0,0
AC004948.1,0,2
AC004949.1,0,0
AC004951.1,4,4
AC004951.2,2,2
AC004951.3,0,0
AC004951.4,2,0
AC004965.1,0,0
AC004966.1,0,0
AC004967.1,0,0
AC004967.2,7,16
AC004969.1,0,0
AC004972.1,0,0
AC004973.1,0,0
AC004974.1,0,0
AC004975.1,0,2
AC004975.2,3,0
AC004980.1,12,6
AC004980.2,2,1
AC004980.3,0,0
AC004980.4,0,0
AC004980.5,0,0
AC004982.1,0,0
AC004982.2,0,4
AC004986.1,0,0
AC004987.1,0,0
AC004987.2,0,0
AC004987.3,0,0
AC004988.1,0,0
AC004990.1,0,0
AC004997.1,1,0
AC005000.1,0,2
AC005000.2,0,0
AC005002.1,0,0
AC005002.2,0,0
AC005005.1,0,0
AC005005.2,0,2
AC005005.3,0,0
AC005005.4,2,3
AC005006.1,0,0
AC005008.1,0,0
AC005008.2,0,0
AC005009.1,0,0
AC005011.1,1,0
AC005013.1,0,0
AC005014.1,10,0
AC005014.2,6,3
AC005014.3,0,0
AC005014.4,0,1
AC005019.1,0,0
AC005019.2,0,0
AC005020.1,2,2
AC005020.2,4,2
AC005021.1,0,0
AC005034.1,0,0
AC005034.2,0,0
AC005034.3,2,0
